No.,SrcMAC,DstMAC,Src,Dst,Protocol,Length
1,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,88
2,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,88
3,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,104
4,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,95
5,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,95
6,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,193
7,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,87
8,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,87
9,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,115
10,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,85
11,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,85
12,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,166
13,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,97
14,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,97
15,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,245
16,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,71
17,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,71
18,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,71
19,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,73
20,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,73
21,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,84
22,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,84
23,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,84
24,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,135
25,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,195
26,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,135
27,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,195
28,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,130
29,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.107.221.82,TCP,74
30,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.107.221.82,192.168.0.102,TCP,74
31,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.107.221.82,TCP,66
32,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.107.221.82,TCP,376
33,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.107.221.82,192.168.0.102,TCP,66
34,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.107.221.82,192.168.0.102,TCP,282
35,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.107.221.82,TCP,66
36,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,88
37,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,104
38,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,88
39,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,169
40,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,74
41,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,74
42,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,66
43,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,742
44,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,66
45,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,1316
46,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,66
47,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,1316
48,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,66
49,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,652
50,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,66
51,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,130
52,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,158
53,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,264
54,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,66
55,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,66
56,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,66
57,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,684
58,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,66
59,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,97
60,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,97
61,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,66
62,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,66
63,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,210
64,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,66
65,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,TCP,105
66,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,UDP,1399
67,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,TCP,66
68,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,UDP,1399
69,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,UDP,1399
70,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,UDP,1399
71,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,UDP,84
72,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,UDP,735
73,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,UDP,85
74,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,UDP,173
75,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,UDP,113
76,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,95
77,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,UDP,614
78,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,UDP,165
79,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.36.137.203,192.168.0.102,UDP,68
80,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.36.137.203,UDP,73
81,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,181
82,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,95
83,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,8.8.8.8,192.168.0.102,UDP,193
84,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,74
85,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,74
86,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,66
87,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,282
88,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,66
89,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,1316
90,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,66
91,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,1316
92,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,66
93,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,587
94,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,66
95,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,159
96,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,377
97,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,135
98,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,66
99,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,165
100,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,318
101,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,104
102,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,66
103,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,104
104,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,416
105,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,66
106,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,1316
107,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,1316
108,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,1316
109,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,1316
110,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,523
111,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,112
112,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,66
113,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,34.160.144.191,TCP,112
114,58:d9:d5:d6:c0:f8,08:00:27:6e:13:6e,34.160.144.191,192.168.0.102,TCP,66
115,08:00:27:6e:13:6e,58:d9:d5:d6:c0:f8,192.168.0.102,8.8.8.8,UDP,87
