IP,Bytes
142.251.42.14,3855193
49.44.224.15,1137429
49.44.209.211,1030233
192.168.0.102,430670
172.253.118.119,295156
142.250.192.106,179160
142.250.70.35,168532
142.251.221.228,44630
142.250.192.67,40252
142.251.222.98,37775
142.250.183.67,37379
173.194.141.41,36304
142.250.70.42,34685
151.101.193.91,31907
142.250.77.65,26627
173.194.24.6,24255
142.250.4.84,22482
142.251.221.238,19708
34.160.144.191,17017
8.8.8.8,14816
172.217.194.119,14382
142.250.192.6,13647
142.251.220.67,13634
34.36.137.203,10971
34.107.243.93,9644
35.190.72.216,9546
151.101.1.91,8361
35.162.53.82,8125
35.244.181.201,7745
34.160.90.233,6800
34.49.51.44,6322
192.168.0.101,4931
23.38.59.250,1459
34.107.221.82,1082
239.255.255.250,0
224.0.0.251,0
